Co_Ref,Total_Renewal_Score_New,Tenure_Years,Band,call_count_window,tenure_days,price_change_ratio,days_last_call_to_renewal,call_freq_per_month
RW5059,32.5,2.0,4,0,731.0,0.0,98.0,0.0
HX2160,42.0,19.0,4,0,6940.0,0.0,98.0,0.0
OS2667,31.5,2.0,5,1,731.0,0.0,-129.0,0.2222222222222222
TM5423,33.0,3.0,2,0,1096.0,0.0,98.0,0.0
XD5433,32.5,2.0,4,0,731.0,0.0,98.0,0.0
FZ2599,32.5,2.0,1,0,731.0,0.20634920634920634,98.0,0.0
ZT8081,32.5,2.0,2,0,731.0,0.0,98.0,0.0
JT3999,32.0,1.0,1,1,365.0,0.0,-10.0,0.2222222222222222
CD8641,32.0,1.0,1,0,365.0,0.0,98.0,0.0
SI9230,33.5,6.0,2,0,2192.0,0.0,98.0,0.0
JX2420,32.5,6.0,1,0,2192.0,0.0,98.0,0.0
AT5902,32.5,2.0,2,0,792.0,0.15018773466833543,98.0,0.0
HA1180,32.5,1.0,9,0,365.0,0.0,98.0,0.0
KR1824,31.0,1.0,1,1,365.0,0.0,-130.0,0.2222222222222222
JO6546,32.0,1.0,2,1,365.0,0.09326671425172493,-40.0,0.2222222222222222
JS0609,32.5,1.0,8,0,365.0,0.0,98.0,0.0
CN6076,32.0,1.0,2,0,365.0,0.33211070356785605,98.0,0.0
RY4440,33.5,1.0,0,1,365.0,0.18604651162790697,53.0,0.2222222222222222
ML9694,31.0,1.0,2,0,365.0,1.4838709677419355,98.0,0.0
HX3221,31.0,1.0,2,0,365.0,0.19933953767637339,98.0,0.0
JU3420,32.0,1.0,1,0,365.0,0.0,98.0,0.0
VN9330,32.0,1.0,2,0,365.0,0.0,98.0,0.0
RN9022,41.0,10.0,1,1,3653.0,0.1431297709923664,-71.0,0.2222222222222222
ZT7585,32.0,1.0,2,0,365.0,0.0,98.0,0.0
WA1881,34.0,12.0,2,0,4383.0,0.33211070356785605,98.0,0.0
LU2922,32.5,1.0,7,1,365.0,0.0,-41.0,0.2222222222222222
HQ2956,34.5,11.0,2,0,4018.0,0.19933953767637339,98.0,0.0
FJ8495,32.0,1.0,1,0,365.0,0.0,98.0,0.0
PR0745,44.0,12.0,8,0,4383.0,0.0,98.0,0.0
PL9455,34.5,4.0,2,1,1461.0,0.0,-70.0,0.2222222222222222
ER8440,40.5,5.0,1,1,1826.0,0.5012531328320802,49.0,0.2222222222222222
DL5670,34.0,4.0,4,0,1461.0,0.0,98.0,0.0
RT1115,33.0,4.0,1,0,1461.0,0.7163323782234957,98.0,0.0
YP0071,43.5,3.0,0,0,1096.0,0.0,98.0,0.0
FD7770,33.5,5.0,1,1,1826.0,0.0,19.0,0.2222222222222222
NN2690,33.0,4.0,13,0,1461.0,0.0,98.0,0.0
CT6885,32.0,4.0,1,0,1461.0,0.0,98.0,0.0
UA8207,32.0,4.0,2,0,1461.0,0.0,98.0,0.0
KL5341,33.0,4.0,1,1,1461.0,0.0,-73.0,0.2222222222222222
BY6947,40.0,2.0,2,0,731.0,0.34396022228721856,98.0,0.0
XM6295,32.5,2.0,0,0,731.0,0.0,98.0,0.0
IT6062,31.5,2.0,1,0,731.0,0.33407572383073497,98.0,0.0
UI8524,40.0,3.0,2,1,1102.0,1.032119914346895,141.0,0.2222222222222222
JV6786,31.5,2.0,3,1,731.0,0.0,505.0,0.2222222222222222
MP7804,32.5,2.0,1,0,731.0,0.0,98.0,0.0
HZ1744,34.0,3.0,1,0,1096.0,0.0,98.0,0.0
LT1814,33.0,4.0,1,1,1461.0,0.0,231.0,0.2222222222222222
ND9202,32.0,4.0,1,1,1461.0,0.7534246575342466,-133.0,0.2222222222222222
NI9669,35.0,20.0,10,0,7305.0,0.0,98.0,0.0
RM6750,33.5,2.0,10,1,731.0,0.0,108.0,0.2222222222222222
ST5839,35.0,19.0,7,0,6940.0,0.8189225894069715,98.0,0.0
XF2896,34.5,9.0,3,0,3287.0,0.0,98.0,0.0
FK8318,33.0,2.0,3,0,731.0,0.0,98.0,0.0
IM8944,32.0,15.0,5,0,5479.0,0.0,98.0,0.0
GH3293,33.0,3.0,1,0,1096.0,0.0,98.0,0.0
AD9391,32.0,4.0,9,1,1461.0,0.0,-134.0,0.2222222222222222
LJ4257,32.0,4.0,1,0,1461.0,0.20634920634920634,98.0,0.0
ZE0465,34.5,2.0,2,1,731.0,0.0,503.0,0.2222222222222222
LS4460,41.0,2.0,4,0,731.0,0.36810200668896326,98.0,0.0
JX2895,32.5,2.0,4,0,731.0,0.0,98.0,0.0
GA3308,43.5,3.0,3,0,1096.0,1.458626161868057,98.0,0.0
BT9232,31.0,1.0,1,1,365.0,0.37074148296593185,18.0,0.2222222222222222
RP5922,33.0,1.0,10,0,365.0,0.3736348254114752,98.0,0.0
JH5511,33.5,6.0,1,1,2192.0,0.0,471.0,0.2222222222222222
RE0917,34.0,12.0,1,1,4383.0,0.0,136.0,0.2222222222222222
AZ1059,31.0,1.0,1,0,365.0,0.0,98.0,0.0
FK1044,32.5,2.0,1,0,731.0,0.0,98.0,0.0
PK7126,34.0,8.0,3,1,2922.0,0.147659934695852,108.0,0.2222222222222222
YY8363,45.0,8.0,2,0,2922.0,0.0,98.0,0.0
SM1800,31.5,2.0,2,0,731.0,0.0,98.0,0.0
CF4331,31.5,2.0,5,0,731.0,0.0,98.0,0.0
MD0386,31.0,1.0,4,0,365.0,0.2185812697821634,98.0,0.0
YA3306,43.5,1.0,3,1,365.0,0.0,-374.0,0.2222222222222222
MA4972,34.0,4.0,12,0,1461.0,0.0,98.0,0.0
FP9412,32.0,3.0,5,0,1096.0,0.219490146447297,98.0,0.0
VU4760,34.5,12.0,3,0,4383.0,0.0,98.0,0.0
FU8320,32.5,2.0,1,0,731.0,0.0,98.0,0.0
YA7402,32.0,1.0,1,0,365.0,0.0,98.0,0.0
UJ9817,31.5,2.0,2,1,731.0,0.474169741697417,135.0,0.2222222222222222
AD4119,33.0,1.0,1,0,365.0,0.0,98.0,0.0
RO9756,32.0,1.0,4,0,365.0,0.0,98.0,0.0
IV5614,32.5,2.0,4,0,731.0,0.36810200668896326,98.0,0.0
ZA7241,33.0,3.0,4,0,1096.0,0.10353753235547886,98.0,0.0
EM2165,32.0,1.0,0,0,365.0,0.7063197026022305,98.0,0.0
SE3963,34.0,7.0,2,1,2557.0,0.0,47.0,0.2222222222222222
UE9431,32.5,2.0,2,1,731.0,0.0,138.0,0.2222222222222222
TB8010,32.0,1.0,0,0,365.0,0.0,98.0,0.0
EM6963,32.0,1.0,4,1,365.0,0.0,-44.0,0.2222222222222222
IO5913,32.0,1.0,4,0,365.0,0.0,98.0,0.0
NP5506,33.5,3.0,5,0,1096.0,0.522136474411048,98.0,0.0
MV4805,31.5,2.0,0,0,731.0,0.27918781725888325,98.0,0.0
VG7391,39.5,1.0,1,0,365.0,0.0,98.0,0.0
EQ4934,33.5,2.0,5,1,731.0,0.5722676735892596,44.0,0.2222222222222222
TP4096,32.0,1.0,3,0,365.0,0.0,98.0,0.0
RI7621,32.5,2.0,2,1,731.0,0.0,137.0,0.2222222222222222
MF1531,33.5,6.0,5,0,2192.0,0.0,98.0,0.0
BU3554,33.5,2.0,1,0,731.0,0.0,98.0,0.0
VQ5371,32.0,1.0,2,0,365.0,0.0,98.0,0.0
