Co_Ref,crm_contractor_sentiment_score,crm_agent_chase_count,Time_to_Renewal,crm_delays_in_accreditation,crm_contractor_engagement,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_overdue,crm_customer_complained,crm_dissatisfaction_with_support
AF5853,70.0,2.0,0,0,1,1,0,1,0,0
AF5913,0.0,1.5,0,1,0,1,0,1,0,0
AF6271,16.666666666666668,0.6666666666666666,0,0,1,1,0,0,0,0
AF6793,43.333333333333336,1.0,0,0,1,1,0,1,0,0
AF6988,34.0,0.4,2,0,1,1,0,1,0,0
AF7087,40.0,0.25,0,0,1,1,0,0,0,0
AF7143,20.0,1.5,0,0,1,1,0,2,0,0
AF7227,70.0,1.5,1,0,1,1,0,0,0,0
AF7284,43.333333333333336,2.0,0,2,1,2,0,1,0,0
AF7858,16.666666666666668,1.0,0,0,1,1,0,1,0,0
AF7944,0.0,0.6666666666666666,0,0,1,1,0,1,0,0
AF8028,56.666666666666664,1.0,0,0,1,2,0,0,0,0
AF8172,32.5,1.25,0,0,1,1,0,0,0,0
AF8183,20.0,0.4,0,1,0,1,0,1,0,0
AF8370,6.666666666666667,0.6666666666666666,0,2,1,1,0,1,0,0
AF8456,57.5,1.25,0,0,1,1,0,2,0,0
AF8693,37.5,1.0,0,0,1,1,0,1,0,0
AF8874,25.0,1.0,0,0,1,1,0,1,0,0
AF9139,46.666666666666664,0.3333333333333333,0,0,1,1,0,1,0,0
AF9511,25.0,2.5,1,0,1,1,0,1,0,0
AF9548,16.666666666666668,1.3333333333333333,0,0,1,1,0,0,0,0
AG0181,16.666666666666668,1.6666666666666667,3,1,0,1,0,1,0,0
AG0573,25.0,1.5,0,0,1,1,0,1,0,0
AG0595,16.666666666666668,1.0,0,1,0,1,0,1,0,0
AG0927,90.0,0.0,0,0,1,1,0,1,0,0
AG1011,0.0,3.0,1,0,1,1,0,1,0,0
AG1723,60.0,0.5,0,0,1,1,0,2,0,0
AG2007,16.666666666666668,1.0,0,2,1,1,0,1,0,0
AG2246,12.5,2.0,0,2,1,1,0,0,0,0
AG2463,16.666666666666668,1.0,0,0,1,1,0,2,0,0
AG2468,33.333333333333336,2.6666666666666665,0,2,1,1,0,0,0,0
AG2757,25.0,1.0,0,0,1,1,0,0,0,0
AG2870,16.666666666666668,1.1666666666666667,0,1,0,1,0,1,0,0
AG3023,50.0,3.0,3,2,1,1,0,1,0,0
AG3075,25.0,0.0,1,0,1,1,0,1,0,0
AG3199,14.285714285714286,0.5714285714285714,0,0,1,1,0,1,0,0
AG3202,37.5,1.0,0,0,1,1,0,2,0,0
AG3503,33.333333333333336,1.3333333333333333,0,0,1,1,0,1,0,0
AG3551,20.0,1.0,0,0,1,0,0,0,0,0
AG3552,33.333333333333336,1.3333333333333333,1,0,1,1,0,2,0,0
AG3778,20.0,1.5,0,2,1,1,0,1,0,0
AG3828,33.333333333333336,1.3333333333333333,0,0,1,1,0,0,0,0
AG3866,16.666666666666668,1.3333333333333333,0,0,1,1,0,1,0,0
AG3928,50.0,2.0,1,0,1,2,0,0,0,0
AG4578,0.0,0.0,3,0,1,1,0,1,0,0
AG4875,50.0,1.6666666666666667,0,2,1,1,0,0,0,0
AG4897,25.0,1.5,2,0,1,1,0,1,0,0
AG4971,10.0,1.6,0,1,0,1,0,1,0,0
AG4986,50.0,1.0,0,0,1,1,0,1,0,0
AG5151,16.666666666666668,2.6666666666666665,0,2,1,0,0,2,0,0
AG5175,33.333333333333336,1.6666666666666667,0,2,1,1,0,1,0,0
AG5519,25.0,2.75,0,2,1,1,0,1,0,0
AG5592,40.0,1.0,0,0,1,1,0,1,0,0
AG5729,33.333333333333336,1.3333333333333333,0,0,1,1,0,0,0,0
AG5956,25.0,0.0,0,0,1,1,0,1,0,0
AG6396,25.0,2.0,2,0,1,2,0,2,0,0
AG6497,55.0,1.0,0,0,1,1,0,1,0,0
AG6731,50.0,1.0,1,2,1,2,0,0,0,0
AG6811,30.0,0.6,0,1,0,1,0,1,0,0
AG7281,33.333333333333336,3.3333333333333335,0,2,1,1,0,1,0,0
AG7504,5.0,3.0,0,0,1,1,0,1,0,0
AG7540,16.666666666666668,1.0,0,0,1,1,0,1,0,0
AG7545,63.333333333333336,0.6666666666666666,0,0,1,1,0,0,0,0
AG7595,17.5,2.25,0,2,1,1,0,1,0,0
AG7687,30.0,0.6666666666666666,0,0,1,2,0,1,0,0
AG7743,25.0,0.5,0,0,1,1,0,1,0,0
AG7796,16.666666666666668,1.3333333333333333,0,0,1,1,0,1,0,0
AG7901,43.333333333333336,1.3333333333333333,0,0,1,1,0,0,0,0
AG8127,50.0,1.0,0,0,1,1,0,1,0,0
AG8323,13.333333333333334,0.5,1,0,0,1,0,1,0,0
AG8779,25.0,1.0,0,0,1,1,0,1,0,0
AG8867,33.333333333333336,2.0,0,2,1,1,0,0,0,0
AG8873,75.0,1.0,0,0,1,1,0,1,0,0
AG9196,16.666666666666668,2.0,0,2,1,2,0,0,0,0
AG9457,25.0,1.25,0,2,1,0,0,1,0,0
AG9655,43.333333333333336,1.0,0,0,1,1,0,0,0,0
AG9777,0.0,1.0,0,1,0,1,0,1,0,0
AG9946,20.0,0.8,3,1,1,1,0,2,0,0
AH0067,25.0,1.5,1,0,1,1,0,1,0,0
AH0475,25.0,2.5,2,0,1,1,0,1,0,0
AH0530,16.666666666666668,2.3333333333333335,0,2,1,1,0,1,0,0
AH0535,0.0,2.0,1,0,1,1,0,2,0,0
AH0741,16.666666666666668,1.3333333333333333,0,2,1,1,0,1,0,0
AH0860,25.0,1.5,0,0,1,1,0,0,0,0
AH1089,60.0,1.0,0,0,1,1,0,0,0,0
AH1194,33.333333333333336,1.0,0,0,1,2,0,2,0,0
AH1333,25.0,3.0,0,0,1,1,0,1,0,0
AH1499,50.0,2.0,0,2,1,1,0,1,0,0
AH1722,33.333333333333336,1.3333333333333333,0,0,1,1,0,1,0,0
AH1806,25.0,1.5,1,0,1,1,0,0,0,0
AH1917,26.666666666666668,1.0,0,2,1,1,0,1,0,0
AH2114,40.0,1.0,1,0,1,1,0,0,0,0
AH2159,16.666666666666668,1.3333333333333333,0,2,1,1,0,0,0,0
AH2284,43.333333333333336,0.6666666666666666,1,0,1,1,0,1,0,0
AH2523,33.333333333333336,1.3333333333333333,1,2,1,1,0,0,0,0
AH2541,0.0,0.5,1,0,1,1,0,1,0,0
AH2548,0.0,2.0,0,1,0,1,0,1,0,0
AH2799,57.5,1.5,0,0,1,2,0,1,0,0
AH2822,20.0,2.5,0,0,1,0,0,0,1,0
AH3231,23.333333333333332,2.0,1,2,1,1,0,1,0,0
AH3239,43.333333333333336,2.6666666666666665,0,2,1,1,0,0,0,0
AH3411,25.0,1.5,0,0,1,1,0,1,0,0
AH3544,20.0,0.4,3,1,0,1,0,0,0,0
AH4514,20.0,1.0,3,0,1,1,0,2,0,0
AH4582,60.0,1.3333333333333333,0,0,1,2,0,0,0,0
AH4607,35.0,1.0,0,0,1,0,0,0,0,0
AH4934,33.333333333333336,1.6666666666666667,0,2,1,1,0,1,0,0
AH5150,70.0,1.0,2,0,1,1,0,1,0,0
AH5278,50.0,0.5,0,0,1,1,0,0,0,0
AH5391,25.0,1.0,1,2,1,1,0,1,0,0
AH5460,50.0,2.5,0,2,1,1,0,1,0,0
AH5562,35.0,2.0,1,0,1,0,0,1,0,0
